iter	Passed	Remaining
360	40010	15405
361	40100	15286
362	40191	15168
363	40277	15048
364	40461	14965
365	40560	14850
366	40682	14743
367	40806	14637
368	40924	14528
369	41036	14418
370	41141	14305
371	41246	14192
372	41390	14092
373	41513	13985
374	41641	13880
375	41847	13800
376	42020	13709
377	42179	13613
378	42322	13512
379	42457	13407
380	42610	13308
381	42858	13238
382	42969	13126
383	43096	13018
384	43201	12904
385	43330	12797
386	43435	12682
387	43560	12574
388	43768	12489
389	43926	12389
390	44017	12270
391	44106	12151
392	44200	12034
393	44300	11918
394	44538	11839
395	44627	11720
396	44742	11608
397	44861	11497
398	44974	11384
399	45077	11269
400	45184	11155
401	45284	11039
402	45495	10950
403	45649	10847
404	45750	10731
405	45872	10620
406	45975	10505
407	46096	10394
408	46191	10277
409	46283	10159
410	46384	10044
411	46473	9926
412	46574	9811
413	46762	9713
414	46865	9598
415	46959	9482
416	47080	9370
417	47169	9253
418	47259	9136
419	47353	9019
420	47442	8902
421	47534	8786
422	47624	8669
423	47714	8552
424	47823	8439
425	47919	8324
426	48010	8207
427	48100	8091
428	48184	7974
429	48274	7858
430	48363	7742
431	48461	7628
432	48566	7514
433	48675	7402
434	48844	7298
435	48970	7188
436	49068	7073
437	49161	6959
438	49254	6844
439	49347	6729
440	49437	6614
441	49528	6499
442	49628	6385
443	49724	6271
444	49814	6156
445	49990	6052
446	50099	5940
447	50204	5827
448	50307	5714
449	50404	5600
450	50505	5487
451	50603	5373
452	50698	5260
453	50829	5150
454	50961	5040
455	51097	4930
456	51215	4818
457	51333	4707
458	51435	4594
459	51536	4481
460	51630	4367
461	51724	4254
462	51894	4147
463	51994	4034
464	52096	3921
465	52192	3808
466	52287	3694
467	52388	3582
468	52482	3468
469	52577	3356
470	52673	3243
471	52765	3130
472	52860	3017
473	52955	2904
474	53010	2790
475	53106	2677
476	53199	2565
477	53293	2452
478	53386	2340
479	53500	2229
480	53596	2117
481	53690	2005
482	53781	1892
483	53878	1781
484	53973	1669
485	54069	1557
486	54165	1445
487	54270	1334
488	54360	1222
489	54452	1111
490	54543	999
491	54632	888
492	54722	776
493	54816	665
494	54913	554
495	55006	443
496	55110	332
497	55207	221
498	55297	110
499	55391	0
