iter	Logloss
0	0.6231722049
50	0.008992559705
100	0.002143888558
150	0.001433651102
200	0.001198132051
250	0.001038158779
300	0.0009139620813
350	0.0007996868344
400	0.0006996782501
450	0.0006078788962
499	0.0005351198823
